Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW,LCOE.USD_kWh,EffectiveCapacity.MW
aut.nga,AUT,nga,2018,1951,9918,2588.477747,1132.191781,5228.336,0.215034331,0.434337029,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,1124.271734
aut.oil,AUT,oil,2018,318,716,421.904625,81.73515982,704.406,0.116273199,0.19412809,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,81.90353901
aut.nuc,AUT,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
aut.wnd,AUT,wnd,2018,519,6030,688.5801899,688.3561644,2877.5,0.239228485,0.999709222,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,688.3799656
aut.sol,AUT,sol,2018,124,1438,164.5162689,164.1552511,1437.6,0.114158507,0.997556476,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,164.1142697
aut.hyd,AUT,hyd,2018,3236,37638,4293.34392,4296.575342,14516.246,0.325869362,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,4730.399823
aut.ore,AUT,ore,2018,683,1681,906.1662229,191.8949772,1,0.027283105,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0.027283105
aut.bio,AUT,bio,2018,983,3966,1304.189454,452.739726,1734,0.371661848,0.494147259,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,644.4616444
aze.coa,AZE,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
aze.nga,AZE,nga,2018,4996,23128,6628.413543,2640.182648,3070,0.859998066,0.398314626,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,2640.194063
aze.oil,AZE,oil,2018,13,49,17.24767335,5.593607306,3482.2,0.45,0.323648974,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,1566.99
aze.nuc,AZE,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
aze.wnd,AZE,wnd,2018,7,83,9.287208727,9.474885845,66,0.143039989,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,9.440639274
aze.sol,AZE,sol,2018,3,39,3.980232311,4.452054795,34.9,0.128547317,1,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,4.486301363
aze.hyd,AZE,hyd,2018,152,1768,201.6651038,201.826484,1130.8,0.17848115,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,201.8264844
aze.ore,AZE,ore,2018,71,162,94.19883137,18.49315068,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
aze.bio,AZE,bio,2018,0,0,0,0,45,0.411466261,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,18.51598175
bel.coa,BEL,coa,2018,468,2345,620.9162406,267.6940639,1006.5,0.264403126,0.428595242,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,266.1217463
bel.nga,BEL,nga,2018,3784,23982,5020.399689,2737.671233,4178,0.640836475,0.533307099,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,2677.414793
bel.oil,BEL,oil,2018,31,161,41.12906722,18.37899543,1666.9,0.011272394,0.456853403,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,18.78995356
bel.nuc,BEL,nuc,2018,7451,28597,9885.570317,3264.497717,5919,0.549203719,0.328836548,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,3250.736813
bel.wnd,BEL,wnd,2018,642,7465,851.7697146,852.1689498,3191,0.270364817,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,862.734131
bel.sol,BEL,sol,2018,335,3902,444.4592748,445.43379,4254.5,0.10656791,1,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,453.3931731
