CountryCode,FuelType,Year,Capacity.MW,PowerOutput.MWy,EffectiveCapacity.MW,CapacityFactor,ThermalEfficiency,LCOE.TotalCalc.USD_kWh,LCOE.USD_kWh,VarOpex.USD_kWh,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,TotalThisYearDemand.MWy,FuelCostPerkWh,TotalNonCoalAndGasGeneration,RequiredCoalAndGas,MaximumGen,SumMaximumGen,OtherMaximumGen,MinimumGen,RemainderAfterMinimas,MinVarCost,RelVarCost,LogitExp,SumLogitExp,ProportionOfCoalGasGeneration,SumProportionOfCoalGasGeneration,GenerationShare,EffectiveEndOfYearRetirements,TotalEffectiveCapacity,TotalRetirements,TotalPredictedNextYearDemand.MWy,CostOfCheapestOption,RelativeCost,LogitNominator,SumLogitNominator,ProportionOfInvestment,CheckSum,NamePlateEndOfYearRetirements,TotalNewEffectiveInvestmentsNeeded,NewEffectiveInvestments,NewNameplateInvestments,NextYearEffectiveCapacity.MW,NextYearCapacity.MW,ThisYearGenerationCost,Price
CHN,ore,2022,10031.44404997528,5985.965620796269,5985.965620796269,0.596720232,1,0.123570714,0.123570713,0.005555556,0.005555556,0.118015158,816084.5890360001,0,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.007334981815876699,239.43862483185077,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,3.0615361875762748,0.04681572222127853,1.6254811444331987,0.02880114751352779,1,401.2577619990112,32777.91679197128,944.0416167117044,1582.0506262165825,6690.568612676123,11212.23691419285,0,0
CHN,bio,2022,14253.262584005257,14253.262584005257,14253.262584005257,1,0.287212967,0.10377467214515246,0.147883708,0.0121,0.07781311114515245,0.025961561,816084.5890360001,0.06571311114515245,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.017465423040082063,570.1305033602102,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,2.5710777565487555,0.07645310317293638,1.6254811444331987,0.04703413720593812,1,570.1305033602102,32777.91679197128,1541.6810357184002,1541.6810357184002,15224.813116363446,15224.813116363446,0,5.242682673
CHN,coa,2023,973294.3637091795,489654.21337324724,474694.1070557478,0.487718952,0.359969474,0.03999358558983701,0.061267026,0.0032,0.024299493589837007,0.015694092,816084.5890360001,0.021099493589837006,312036.7881357107,504047.8009002894,875964.9273382615,935982.4625540463,60017.535215784796,444030.2656845046,60017.535215784796,0.024299493589837007,1,0.36787944117144233,0.4839392125008539,0.7601769636941607,1,0.6000042396973226,18987.764282229913,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1,0.36787944117144233,1.6109105460165256,0.22836739264085024,1,38931.774548367175,32777.91679197128,7485.407393981223,15347.788646075052,463191.7501674991,949710.3778068874,0,2.109770447
CHN,nga,2023,66686.15023976084,14393.58752704215,32717.02460782344,0.490611986,0.363221503,0.07431717916694411,0.084858665,0.005,0.05233260316694411,0.021984576,816084.5890360001,0.04733260316694411,312036.7881357107,504047.8009002894,60017.53521578476,935982.4625540463,875964.9273382615,0,60017.535215784796,0.024299493589837007,2.153649950500682,0.1160597713294116,0.4839392125008539,0.23982303630583937,1,0.017637372057282167,1308.6809843129377,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1.8582274650020192,0.1559488102504957,1.6109105460165256,0.09680786474216545,1,2667.4460095904337,32777.91679197128,3173.160135327109,6467.759096548263,34581.503758837614,70486.46332671867,0,4.775616462
CHN,oil,2023,43333.07268064204,3254.591436645955,3254.591436645955,0.075106408,0.321523472,0.1531836829284481,0.190673637,0.005,0.08556660292844812,0.06761708,816084.5890360001,0.08056660292844811,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.003988056483814308,130.1836574658382,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,3.830206286064395,0.02170513770056385,1.6109105460165256,0.013473831774356753,1,1733.3229072256818,32777.91679197128,441.6441367688844,5880.245754382028,3566.0519159490013,47479.99552779839,0,7.195570528
CHN,nuc,2023,71958.06726208876,54160.37100933494,54160.37100933494,0.752665727,0.329613554,0.052068219,0.052068219,0.0066,0.0066,0.045468219,816084.5890360001,0,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.06636612397412366,2166.4148403733975,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1.3019142502999617,0.2720105979755003,1.6109105460165256,0.16885518481962306,1,2878.3226904835506,32777.91679197128,5534.721197910536,7353.491728620368,57528.67736687207,76433.23630022559,0,0
CHN,wnd,2023,271573.93071575265,60106.68084072783,60106.68084072783,0.221327138,0.977327371,0.051902689,0.051902689,0.0074,0.0074,0.044502689,816084.5890360001,0,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.07365251304614004,2404.2672336291134,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1.2977753365827063,0.2731387594416767,1.6109105460165256,0.16955551015361886,1,10862.957228630108,32777.91679197128,5557.67640343556,25110.68662278351,63260.09001053427,285821.66010990605,0,0
CHN,sol,2023,343044.9923238069,44234.2349843366,44234.2349843366,0.12894587,1,0.053493613,0.053493613,0,0,0.053493613,816084.5890360001,0,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.0542030024566305,1769.3693993734641,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1.3375548156300734,0.26248671293289083,1.6109105460165256,0.16294307190549492,1,13721.799692952278,32777.91679197128,5340.9344527465055,41419.97299135293,47805.80003770965,370743.16562220757,0,0
CHN,hyd,2023,323516.7112437983,128365.52813562582,128365.52813562582,0.396781754,1,0.07995943500000001,0.079959769,9.33e-4,9.33e-4,0.079026435,816084.5890360001,0,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.15729439063082615,5134.621125425033,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,1.9993064842957953,0.13542917293409698,1.6109105460165256,0.08406995240610193,1,12940.668449751935,32777.91679197128,2755.6379046721945,6944.971327164894,125986.54491487298,317521.0141212113,0,0
CHN,ore,2023,11212.23691419285,6690.568612676122,6690.568612676122,0.596720232,1,0.123570714,0.123570713,0.005555556,0.005555556,0.118015158,816084.5890360001,0,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.008198376372453443,267.6227445070449,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,3.089763325231865,0.04551272484362527,1.6109105460165256,0.028252794642241032,1,448.48947656771406,32777.91679197128,926.0677519240285,1551.9295345830144,7349.0136200931065,12315.67697220815,0,0
