Item code,ISO code,Unit,Year,Value,Source Code,Source Wording,Note,Title
etpmw,HU,MW,2000,580,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2010,413,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2015,443,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2016,443,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2017,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2018,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,HU,MW,2019,441,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2000,147.1,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2010,121,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2015,117,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2016,72,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2017,71.971,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2018,71.971,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IS,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2000,842,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2010,1141,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2015,925,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2016,925,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2017,923,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2018,923,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IE,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2000,16048.2571,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2010,10163.4714,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2015,3197.9,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2016,2563,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2017,2603.7,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2018,2484.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,IT,MW,2019,2484.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2000,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2010,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2015,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2016,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2017,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2018,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,XZ,MW,2019,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2000,22,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2010,2.1,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2015,1.2,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2016,0.8,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2017,1.2,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2018,23.8,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LV,MW,2019,n.a.,NSO ,Central Statistical Bureau of Latvia,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2000,1139,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2010,918,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2015,969,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2016,973,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2017,975,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2018,975,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LT,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2000,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2010,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2015,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2016,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2017,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2018,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,LU,MW,2019,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2000,213,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2010,286,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2015,58,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2016,89,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2017,91,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2018,91,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MK,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2000,515,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2010,573,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2015,593,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2016,480,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2017,306.72,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2018,306.72,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,MT,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2000,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2010,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2015,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2016,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2017,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2018,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ME,MW,2019,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2000,799.6,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2010,570.1,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2015,319.3,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2016,222,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2017,222,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2018,222,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NL,MW,2019,222,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2000,13,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2010,18,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2015,18,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2016,28,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2017,28,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2018,28,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,NO,MW,2019,28,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2000,346,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2010,489,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2015,332,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2016,310,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2017,375,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2018,375,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PL,MW,2019,375,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2000,2553,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2010,3106,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2015,738,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2016,693,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2017,689,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2018,689,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,PT,MW,2019,689,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2000,6571,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2010,2534,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2015,2953.6,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2016,3780.6,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2017,3842.584,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2018,3841.584,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RO,MW,2019,3840.884,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2000,150,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2010,100,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2015,100,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2016,100,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2017,100,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2018,100,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,RS,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2000,574,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2010,507.3333,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2015,442.3333,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2016,545.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2017,583.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2018,575.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SK,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2000,31,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2010,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2015,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2016,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2017,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2018,0,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SI,MW,2019,n.a.,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2000,8284,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2010,5359.015,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2015,4224.03,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2016,4224.03,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2017,4224.03,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2018,4224.03,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,ES,MW,2019,4202.73,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2000,3716,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2010,3345.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2015,3066,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2016,3111,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2017,2587.7,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2018,2460,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,SE,MW,2019,2460,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CH,MW,2000,241.6667,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CH,MW,2010,113.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
etpmw,CH,MW,2015,179.5,Enerdata ,Enerdata,,Total electricity capacity oil (multifuel oil/gas included)
