CountryCode,FuelType,Capacity.MW,Production.GWh,Production.MWy,RawCapacityFactor,PrimaryEnergyInputToPower.ktoe,PrimaryEnergyInputToPower.PJ,PrimaryEnergyInputToPower.MWy,PowerOutput.GWh,PowerOutput.MWy,LCOE.USD_kWh,BNEFCapacityFactor,CapEx.USD_kW,ThermalEfficiency.Je_Jth.ncv,FixedOpex.USD_kW_y,VarOpex.USD_kWh,CostOfCapital,ConstructionTime,Lifetime,RealEscalationRate,FuelPrice.kwh,FuelCost.kwhe,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,LCOE.TotalCalc.USD_kWh,FuelPriceGlobal,CapacityFactor,EffectiveCapacity.MW,RawThermalEfficiency,ThermalEfficiency,AvailabilityFactor
LKA,hyd,1757,6378.4455,728.1330479452055,0.4144183539813349,550,23.0274,729.7092570917496,6401,730.7077625570777,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.4144183539813349,728.1330479452055,0.9978399490876324,0.9978399490876324,0
LKA,ore,0,0,0,0,-0,-0,-0,0,0,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,NA,1,0
LKA,bio,61,55.3766,6.321529680365297,0.10363163410434914,57,2.386476,75.62441391678132,87,9.931506849315069,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.10363163410434914,6.321529680365297,0.08359112293183045,0.08359112293183045,0
LTU,coa,0,0,0,0,-0,-0,-0,0,0,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.6587500000000001,0,NA,0.3571428571428571,0.9
LTU,nga,1195,330.1191,37.684828767123285,0.031535421562446264,194,8.122392,257.38835613781714,330,37.67123287671233,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.031535421562446264,37.684828767123285,0.1464123293399689,0.1464123293399689,0.9
LTU,oil,975,131.496,15.01095890410959,0.015395855286266245,23,0.962964,30.515114387473165,131,14.954337899543379,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.015395855286266245,15.01095890410959,0.49191881483727207,0.49191881483727207,0
LTU,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
LTU,wnd,533,1144,130.59360730593608,0.2450161487916249,98,4.103064,130.02092217271175,1144,130.59360730593608,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,0.2450161487916249,130.59360730593608,1.0044045613863868,1,0
LTU,sol,83,86.6369,9.89005707762557,0.11915731418825988,7,0.293076,9.287208726622268,87,9.931506849315069,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.11915731418825988,9.89005707762557,1.0649116832353738,1,0
LTU,hyd,1028,959.6,109.54337899543378,0.10655970719400173,37,1.5491160000000002,49.08953184071771,431,49.20091324200913,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.10655970719400173,109.54337899543378,2.231501806757345,1,0
LTU,ore,0,0,0,0,83,3.475044,110.11976061566403,272,31.050228310502284,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,0,1,0
LTU,bio,103,627.516,71.63424657534246,0.6954781220907035,188,7.871184,249.42789151499807,355,40.52511415525114,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.6954781220907035,71.63424657534246,0.28719421128184097,0.28719421128184097,0
LUX,coa,0,0,0,0,-0,-0,-0,0,0,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.6587500000000001,0,NA,0.3571428571428571,0.9
LUX,nga,93,196.8028,22.466073059360728,0.24157067805764224,60,2.51208,79.60464622819087,195,22.26027397260274,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.24157067805764224,22.466073059360728,0.282220625602186,0.282220625602186,0.9
LUX,oil,0,0,0,0,-0,-0,-0,0,0,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.45,0,NA,0.3231939163498099,0
LUX,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
LUX,wnd,123,244.711,27.935045662100457,0.22711419237480046,22,0.921096,29.188370283669986,255,29.10958904109589,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,0.22711419237480046,27.935045662100457,0.9570608221908599,0.9570608221908599,0
LUX,sol,131,111.696,12.75068493150685,0.09733347275959428,10,0.41868000000000005,13.267441038031814,120,13.698630136986301,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.09733347275959428,12.75068493150685,0.9610508081367269,0.9610508081367269,0
LUX,hyd,1333,1336.507,152.5692922374429,0.11445558307385065,8,0.334944,10.613952830425449,93,10.616438356164384,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.11445558307385065,152.5692922374429,14.374408354265066,1,0
LUX,ore,0,0,0,0,49,2.051532,65.01046108635587,199,22.71689497716895,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,0,1,0
LUX,bio,44,291.5882,33.286324200913235,0.7565073682025735,47,1.967796,62.35697287874952,95,10.844748858447488,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.7565073682025735,33.286324200913235,0.5338027595668744,0.5338027595668744,0
LVA,coa,0.8295662100456621,7.267,0.8295662100456621,1,4,0.167472,5.306976415212724,7,0.7990867579908676,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,1,0.8295662100456621,0.15631616670985524,0.15631616670985524,0.9
LVA,nga,1111.1,3218.1693,367.3709246575342,0.33063713856316646,582,24.367176,772.1650684134514,3219,367.4657534246575,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.33063713856316646,367.3709246575342,0.47576734520296576,0.47576734520296576,0.9
LVA,oil,23.8,0,0,0,-0,-0,-0,0,0,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.45,10.71,NA,0.3231939163498099,0
LVA,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
LVA,wnd,78,122,13.926940639269406,0.17855052101627442,10,0.41868000000000005,13.267441038031814,122,13.926940639269406,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,0.17855052101627442,13.926940639269404,1.0497081237705976,1,0
LVA,sol,2,1,0.1141552511415525,0.05707762557077625,-0,-0,-0,1,0.1141552511415525,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.05707762557077625,0.1141552511415525,-Inf,1,0
LVA,hyd,1565,2431.7891,277.60149543379,0.17738114724203832,209,8.750412,277.28951769486486,2432,277.6255707762557,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.17738114724203832,277.60149543379,1.001125097484819,1,0
LVA,ore,0,0,0,0,79,3.3075720000000004,104.81278420045133,374,42.694063926940636,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,0,1,0
LVA,bio,134.1,944.6496,107.83671232876712,0.804151471504602,279,11.681172,370.16160496108756,570,65.06849315068493,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.804151471504602,107.83671232876712,0.2913233325214894,0.2913233325214894,0
MAR,coa,4281,21261,2427.054794520548,0.5669364154451175,4919,205.94869200000002,6526.254246607849,21261,2427.054794520548,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.5669364154451175,2427.054794520548,0.3718909351075402,0.3718909351075402,0.9
MAR,nga,1279,5198,593.37899543379,0.4639397931460438,855,35.79714,1134.3662087517198,5198,593.37899543379,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.4639397931460438,593.37899543379,0.5230929754922413,0.5230929754922413,0.9
MAR,oil,1677,1593.5434,181.91134703196346,0.10847426775907183,301,12.602268,399.3499752447575,1289,147.1461187214612,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.10847426775907183,181.91134703196346,0.45551861351805983,0.45551861351805983,0
MAR,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
MAR,wnd,1220,3840.8278,438.4506621004566,0.35938578860693166,330,13.81644,437.8255542550498,3841,438.4703196347032,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,0.35938578860693166,438.4506621004566,1.0014277555052045,1,0
MAR,sol,711,950.6867,108.52587899543379,0.15263836708218534,247,10.341396000000001,327.70579363938583,950,108.44748858447488,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.15263836708218534,108.52587899543377,0.3311686308325018,0.3311686308325018,0
MAR,hyd,1770,1972.213,225.1384703196347,0.12719687588679926,146,6.112728000000001,193.7046391552645,1693,193.2648401826484,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.12719687588679926,225.13847031963468,1.1622771209892104,1,0
MAR,ore,0,0,0,0,-0,-0,-0,0,0,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,NA,1,0
MAR,bio,0,0,0,0,-0,-0,-0,0,0,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.7718181818181818,0,NA,0.35,0
MDA,coa,0,0,0,0,-0,-0,-0,0,0,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.6587500000000001,0,NA,0.3571428571428571,0.9
MDA,nga,2947.38,4924.6927,562.1795319634703,0.19073873472829098,1297,54.302796,1720.787102632726,5051,576.5981735159818,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.19073873472829098,562.1795319634703,0.3266990617859474,0.3266990617859474,0.9
MDA,oil,2.52,16.9,1.9292237442922375,0.765564977893745,7,0.293076,9.287208726622268,8,0.91324200913242,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.765564977893745,1.9292237442922375,0.2077291251958209,0.2077291251958209,0
MDA,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
MDA,wnd,2.6141552511415527,22.9,2.6141552511415527,1,2,0.083736,2.653488207606362,23,2.625570776255708,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,1,2.6141552511415527,0.9851768866535531,0.9851768866535531,0
