Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,Production.MWy
arm.bio,ARM,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
aus.coa,AUS,coa,2018,37593,157711,25150,18003.538812785388,49876.291094272994,0.7158434012364171,0.36096231588405187,0.9,0.11352823086582844,0.04568801115289474,0.0022,0.0678402197129337,18003.46154109589
aus.nga,AUS,nga,2018,12302,53817,18331,6143.493150684932,16321.605964986737,0.33554669784871743,0.3768566972796563,0.9,0.08248467104095097,0.0518567535233,0.0044,0.030627917517650975,6150.906518264839
aus.oil,AUS,oil,2018,1138,4838,1878,552.283105022831,1509.8347901280204,0.2981144992973191,0.3708081396328761,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,559.8590296803652
aus.nuc,AUS,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
aus.wnd,AUS,wnd,2018,1304,15164,5818,1731.0502283105022,1730.0743113593483,0.2977384604698691,1,0,0.05298401641552035,0.005900000000000001,0.005900000000000001,0.04708401641552035,1732.2423630136987
aus.sol,AUS,sol,2018,854,9929,11305,1133.447488584475,1133.039464647917,0.1002884124089434,1,0,0.04958440171539371,0,0,0.04958440171539371,1133.760502283105
aus.hyd,AUS,hyd,2018,1361,15831,8725,1807.1917808219177,1805.6987252761296,0.2096125943661603,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,1828.8698858447488
aus.ore,AUS,ore,2018,350,1254,1,143.15068493150685,464.3604363311134,0.4222222222222222,1,0,0.12168545794096564,0.004555555555555556,0.004555555555555556,0.11712990238541009,0
aus.bio,AUS,bio,2018,807,2264,709,258.4474885844749,1070.6824917691672,0.5662901153467164,0.3749941694828637,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,401.4996917808219
