CountryCode,TwoLetterCountryCode,FuelType,Year,CapacityMW,ProductionGWh,ProductionMWy,OrigProdGreaterThanOrigCap,CapacityFactor
BRA,BR,nga,2018,13143,54621.735,6235.357876712329,FALSE,0.47442424687760243
BRA,BR,nuc,2018,1990,15673.887,1789.256506849315,FALSE,0.8991238727886005
BRA,BR,oil,2018,7998,12525.845,1429.8909817351598,FALSE,0.17878106798389096
BRA,BR,ore,2018,0,0,0,FALSE,0
BRA,BR,sol,2018,2296,3461.434,395.1408675799087,FALSE,0.1720996810017024
BRA,BR,wnd,2018,14403,48475.141,5533.691894977169,FALSE,0.38420411684907096
BRB,BB,bio,2018,0,0,0,FALSE,0
BRB,BB,coa,2018,0,0,0,FALSE,0
BRB,BB,hyd,2018,0,0,0,FALSE,0
BRB,BB,nga,2018,10,33.3075,3.80222602739726,FALSE,0.380222602739726
BRB,BB,nuc,2018,0,0,0,FALSE,0
BRB,BB,oil,2018,239.1,1004.6925,114.69092465753425,FALSE,0.47967764390436746
BRB,BB,ore,2018,0,0,0,FALSE,0
BRB,BB,sol,2018,24,0,0,FALSE,0
BRB,BB,wnd,2018,0,0,0,FALSE,0
BRN,BN,bio,2018,0,0,0,FALSE,0
BRN,BN,coa,2018,0,0,0,FALSE,0
BRN,BN,hyd,2018,0,0,0,FALSE,0
BRN,BN,nga,2018,930.2,4244.9448,484.5827397260274,FALSE,0.5209446782692189
BRN,BN,nuc,2018,0,0,0,FALSE,0
BRN,BN,oil,2018,13.5,47.0802,5.37445205479452,FALSE,0.39810755961440886
BRN,BN,ore,2018,0,0,0,FALSE,0
BRN,BN,sol,2018,1.2,1.545,0.17636986301369864,FALSE,0.14697488584474888
BRN,BN,wnd,2018,0,0,0,FALSE,0
BTN,BT,bio,2018,0,0,0,FALSE,0
BTN,BT,coa,2018,0,0,0,FALSE,0
BTN,BT,hyd,2018,1596.1,6958.64,794.365296803653,FALSE,0.49769143337112526
BTN,BT,nga,2018,0,0,0,FALSE,0
BTN,BT,nuc,2018,0,0,0,FALSE,0
BTN,BT,oil,2018,15.04,0.04,0.0045662100456621,FALSE,3.0360439133391624e-4
BTN,BT,ore,2018,0,0,0,FALSE,0
BTN,BT,sol,2018,0,0,0,FALSE,0
BTN,BT,wnd,2018,0.6,1.13,0.12899543378995434,FALSE,0.21499238964992393
BWA,BW,bio,2018,0,0,0,FALSE,0
BWA,BW,coa,2018,752,2720.9846,310.61468036529675,FALSE,0.4130514366559797
BWA,BW,hyd,2018,0,0,0,FALSE,0
BWA,BW,nga,2018,35,0,0,FALSE,0
BWA,BW,nuc,2018,0,0,0,FALSE,0
BWA,BW,oil,2018,160,7.986,0.9116438356164384,FALSE,0.005697773972602739
BWA,BW,ore,2018,0,0,0,FALSE,0
BWA,BW,sol,2018,3,2,0.228310502283105,FALSE,0.076103500761035
BWA,BW,wnd,2018,0,0,0,FALSE,0
CAF,CF,bio,2018,0,0,0,FALSE,0
CAF,CF,coa,2018,0,0,0,FALSE,0
CAF,CF,hyd,2018,38.75,143.5252,16.384155251141554,FALSE,0.4228169097068788
CAF,CF,nga,2018,0,0,0,FALSE,0
CAF,CF,nuc,2018,0,0,0,FALSE,0
CAF,CF,oil,2018,19,26,2.9680365296803655,FALSE,0.15621244893054556
CAF,CF,ore,2018,0,0,0,FALSE,0
CAF,CF,sol,2018,0,0,0,FALSE,0
CAF,CF,wnd,2018,0,0,0,FALSE,0
CAN,CA,bio,2018,3358,7394.985,844.1763698630137,FALSE,0.2513926056768951
CAN,CA,coa,2018,10706,50820.235,5801.396689497717,FALSE,0.5418827470108085
CAN,CA,hyd,2018,80630,383488.0485,43777.17448630137,FALSE,0.5429390361689367
CAN,CA,nga,2018,15054,67230.8482,7674.754360730592,FALSE,0.5098149568706385
CAN,CA,nuc,2018,13554,100367.0414,11457.424817351599,FALSE,0.8453168671500368
CAN,CA,oil,2018,6018,7340.654,837.974200913242,FALSE,0.13924463292011333
CAN,CA,ore,2018,27.391906392694064,239.9531,27.391906392694064,TRUE,1
CAN,CA,sol,2018,3175,3848.7207,439.35167808219177,FALSE,0.1383784812857297
CAN,CA,wnd,2018,12743,29651.1076,3384.829634703196,FALSE,0.26562266614637026
CHE,CH,bio,2018,361.4779223744292,3166.5466,361.4779223744292,TRUE,1
CHE,CH,coa,2018,117,0,0,FALSE,0
CHE,CH,hyd,2018,17046,37802.28,4315.328767123287,FALSE,0.25315785328659435
CHE,CH,nga,2018,305.5,743.9207,84.92245433789954,FALSE,0.27797857393747805
CHE,CH,nuc,2018,3333,25512.63,2912.400684931507,FALSE,0.8738075862380759
CHE,CH,oil,2018,163.5,26.6978,3.0476940639269405,FALSE,0.01864033066621982
CHE,CH,ore,2018,0,0,0,FALSE,0
CHE,CH,sol,2018,1905.8,1943.9422,221.9112100456621,FALSE,0.11643992551456717
CHE,CH,wnd,2018,75.2,121.6331,13.885057077625572,FALSE,0.18464171645778685
CHL,CL,bio,2018,1500.3275,5891.6104,672.5582648401826,FALSE,0.4482743033372264
CHL,CL,coa,2018,4804.7061,29175.359,3330.5204337899545,FALSE,0.6931788052114061
CHL,CL,hyd,2018,6692.1611,22679.8097,2589.019372146119,FALSE,0.38687343796103757
CHL,CL,nga,2018,4596.2315,12965.3306,1480.0605707762556,FALSE,0.322016106189659
CHL,CL,nuc,2018,0,0,0,FALSE,0
CHL,CL,oil,2018,4541.3083,1409.653,160.91929223744293,FALSE,0.03543456678275794
CHL,CL,ore,2018,24.403424657534245,213.774,24.403424657534245,TRUE,1
CHL,CL,sol,2018,2273.8836,5143.3658,587.1422146118721,FALSE,0.2582112007016859
CHL,CL,wnd,2018,1530.1602,3549.6088,405.2064840182648,FALSE,0.264813111737101
CHN,CN,bio,2018,11871.103310502283,103990.865,11871.103310502283,TRUE,1
CHN,CN,coa,2018,1117607,4774884.286,545078.1148401826,FALSE,0.48771895204681304
CHN,CN,hyd,2018,352590,1225535.2,139901.2785388128,FALSE,0.396781753704906
CHN,CN,nga,2018,46973,201878.7275,23045.516837899544,FALSE,0.49061198641559073
CHN,CN,nuc,2018,44660,294459.09,33614.05136986302,FALSE,0.752665727045746
CHN,CN,oil,2018,15000,9868.982,1126.5961187214612,FALSE,0.07510640791476407
CHN,CN,ore,2018,26,135.909,15.514726027397261,FALSE,0.5967202318229716
CHN,CN,sol,2018,174330,196917.2102,22479.133584474883,FALSE,0.128945870386479
CHN,CN,wnd,2018,184270,357267.4163,40783.951632420096,FALSE,0.22132713752873553
CIV,CI,bio,2018,120,173.2209,19.774075342465753,FALSE,0.1647839611872146
CIV,CI,coa,2018,0,0,0,FALSE,0
CIV,CI,hyd,2018,879,2198.2117,250.93740867579905,FALSE,0.28548055594516386
CIV,CI,nga,2018,1182,7835.6745,894.4833904109589,FALSE,0.7567541374035185
CIV,CI,nuc,2018,0,0,0,FALSE,0
CIV,CI,oil,2018,100,79.377,9.061301369863013,FALSE,0.09061301369863013
CIV,CI,ore,2018,0,0,0,FALSE,0
CIV,CI,sol,2018,8,0,0,FALSE,0
CIV,CI,wnd,2018,0,0,0,FALSE,0
CMR,CM,bio,2018,10,3.107,0.35468036529680363,FALSE,0.035468036529680363
CMR,CM,coa,2018,0,0,0,FALSE,0
CMR,CM,hyd,2018,732,4205.5589,480.08663242009135,FALSE,0.655856055218704
CMR,CM,nga,2018,352,2251.6859,257.0417694063927,FALSE,0.7302322994499792
CMR,CM,nuc,2018,0,0,0,FALSE,0
CMR,CM,oil,2018,368,1860.4796,212.38351598173514,FALSE,0.5771291195155847
CMR,CM,ore,2018,0,0,0,FALSE,0
CMR,CM,sol,2018,14,14,1.5981735159817352,FALSE,0.11415525114155252
CMR,CM,wnd,2018,0,0,0,FALSE,0
COD,CD,bio,2018,2.291267123287671,20.0715,2.291267123287671,TRUE,1
COD,CD,coa,2018,0,0,0,FALSE,0
COD,CD,hyd,2018,2765,10645.7026,1215.2628538812785,FALSE,0.43951640285037197
COD,CD,nga,2018,0.20198630136986304,1.7694,0.20198630136986304,TRUE,1
COD,CD,nuc,2018,0,0,0,FALSE,0
COD,CD,oil,2018,160,5.8587,0.6688013698630136,FALSE,0.004180008561643835
COD,CD,ore,2018,0,0,0,FALSE,0
COD,CD,sol,2018,19,0,0,FALSE,0
COD,CD,wnd,2018,0,0,0,FALSE,0
COG,CG,bio,2018,0,0,0,FALSE,0
COG,CG,coa,2018,0,0,0,FALSE,0
COG,CG,hyd,2018,214,1234.6927,140.94665525114155,FALSE,0.6586292301455212
COG,CG,nga,2018,350,2154.975,246.00171232876713,FALSE,0.702862035225049
COG,CG,nuc,2018,0,0,0,FALSE,0
COG,CG,oil,2018,36,88.6822,10.123538812785387,FALSE,0.2812094114662608
COG,CG,ore,2018,0,0,0,FALSE,0
COG,CG,sol,2018,65.75342465753425,576,65.75342465753425,TRUE,1
COG,CG,wnd,2018,0,0,0,FALSE,0
COL,CO,bio,2018,450,1454.1136,165.99470319634702,FALSE,0.36887711821410446
COL,CO,coa,2018,1657,4460.3274,509.169794520548,FALSE,0.30728412463521304
COL,CO,hyd,2018,11877.6,60705.8187,6929.887979452055,FALSE,0.583441771018729
COL,CO,nga,2018,1797.4,12714.8863,1451.4710388127855,FALSE,0.8075392449164268
COL,CO,nuc,2018,0,0,0,FALSE,0
COL,CO,oil,2018,1548,2419.6701,276.21804794520546,FALSE,0.1784354314891508
COL,CO,ore,2018,0,0,0,FALSE,0
COL,CO,sol,2018,84.9,10.8208,1.2352511415525116,FALSE,0.014549483410512503
COL,CO,wnd,2018,18.4,43.4314,4.957922374429223,FALSE,0.26945230295810996
COM,KM,bio,2018,0,0,0,FALSE,0
COM,KM,coa,2018,0,0,0,FALSE,0
