Superscenario,SubscenarioNumber,ModuleCode,QuantityCodeMain,SubsectorCode,FuelCode,CPATCodeNoCountry,CPATCode,Helper Column,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
1,1,mit,ptp,mac,lpg,mit.ptp.lpg.mac.1,chn.mit.ptp.lpg.mac.1,3016,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,mac,ker,mit.ptp.ker.mac.1,chn.mit.ptp.ker.mac.1,3017,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,mac,oop,mit.ptp.oop.mac.1,chn.mit.ptp.oop.mac.1,3018,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
1,1,mit,ptp,mac,bio,mit.ptp.bio.mac.1,chn.mit.ptp.bio.mac.1,3019,10.491,10.677,5.095,5.351,5.243,5.153,5.068,5.004,4.919,4.866,4.803,4.747,4.691,4.635
1,1,mit,ptp,mac,ren,mit.ptp.ren.mac.1,chn.mit.ptp.ren.mac.1,3020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,mit,ptp,mch,coa,mit.ptp.coa.mch.1,chn.mit.ptp.coa.mch.1,2937,4.296,4.372,2.086,2.191,2.147,2.11,2.075,2.049,2.014,1.992,1.966,1.944,1.921,1.898
1,1,mit,ptp,mch,nga,mit.ptp.nga.mch.1,chn.mit.ptp.nga.mch.1,2938,6.975,5.943,5.141,4.921,4.821,4.776,4.749,4.738,4.73,4.941,4.875,4.802,4.743,4.673
1,1,mit,ptp,mch,gso,mit.ptp.gso.mch.1,chn.mit.ptp.gso.mch.1,2939,0.504,0.448,0.378,0.565,0.542,0.538,0.535,0.53,0.521,0.525,0.515,0.506,0.498,0.488
1,1,mit,ptp,mch,die,mit.ptp.die.mch.1,chn.mit.ptp.die.mch.1,2940,0.53,0.477,0.396,0.59,0.567,0.563,0.559,0.555,0.545,0.549,0.539,0.53,0.52,0.511
1,1,mit,ptp,mch,lpg,mit.ptp.lpg.mch.1,chn.mit.ptp.lpg.mch.1,2941,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,mch,ker,mit.ptp.ker.mch.1,chn.mit.ptp.ker.mch.1,2942,0.535,0.477,0.387,0.577,0.554,0.55,0.547,0.542,0.533,0.537,0.527,0.518,0.509,0.499
1,1,mit,ptp,mch,oop,mit.ptp.oop.mch.1,chn.mit.ptp.oop.mch.1,2943,63.732,64.864,30.95,46.186,44.332,44.037,43.743,43.375,42.628,42.951,42.158,41.429,40.701,39.945
